Floor,Room,Name,Source sheet
GROUND,129,ATHLETICS TRAINERS,A-101
GROUND,127,TRAINERS OFFICE,A-101
GROUND,128,TRAINERS STORAGE,A-101
GROUND,125,ATHLETICS OFFICE,A-101
GROUND,126,ATHLETICS OFFICE,A-101
GROUND,124,ATHLETICS OFFICE,A-101
GROUND,130,CORRIDOR,A-101
GROUND,123,TROPHY HALL / CORRIDOR,A-101
GROUND,122,LOCKER ROOM,A-101
GROUND,121,LOCKER ROOM,A-101
GROUND,119,ATHLETICS STORAGE,A-101
GROUND,118,JANITOR,A-101
GROUND,120,MECH / ELECTRICAL,A-101
GROUND,117,MENS TOILET,A-101
GROUND,116,WOMENS TOILET,A-101
GROUND,115,CORRIDOR,A-101
GROUND,114,VESTIBULE,A-101
GROUND,GYM,EXISTING GYM,A-101
GROUND,113,COLLABORATION ROOM,A-101
GROUND,112,ASPIRE CLASSROOM,A-101
GROUND,111,OFFICE,A-101
GROUND,109,STORAGE / IT / MECH,A-101
GROUND,108,INNOVATION LAB,A-101
GROUND,110,CORRIDOR,A-101
GROUND,106,CORRIDOR / DISPLAY HALL,A-101
GROUND,102,STUDENT COMMONS,A-101
GROUND,101,CAFE,A-101
GROUND,103,RECEPTION,A-101
GROUND,104,ADMISSIONS OFFICE,A-101
GROUND,105,CRI GALLERY,A-101
GROUND,100,ENTRY VESTIBULE,A-101
UPPER,218,WEIGHTS / FITNESS,A-102
UPPER,213,TOILET,A-102
UPPER,216,TOILET,A-102
UPPER,211,TOILET,A-102
UPPER,212,TOILET,A-102
UPPER,214,JANITOR / MECH / ELEC,A-102
UPPER,215,STORAGE,A-102
UPPER,220,CORRIDOR,A-102
UPPER,219,COLLABORATION ROOM,A-102
UPPER,210,COLLABORATION ROOM,A-102
UPPER,209,CLASSROOM,A-102
UPPER,208,SEMINAR ROOM,A-102
UPPER,205,IT CLOSET,A-102
UPPER,203,ADMIN,A-102
UPPER,204,CONFERENCE ROOM,A-102
UPPER,202,HEAD OF SCHOOL,A-102
UPPER,207,CORRIDOR,A-102
UPPER,201,CORRIDOR / BRIDGE,A-102
UPPER,200,ROOF TERRACE,A-102
