ID,Sheet,Kind,Floor,Name,Width_mm,Height_mm
1,1,FLOOR,GROUND,GROUND floor plate,329.579,247.253
2,2,FLOOR,UPPER,UPPER floor plate,338.519,176.379
3,2,WALL,GROUND,Lab_south panel,57.715,21.336
4,1,WALL,GROUND,Gallery_south_lintel0 panel,5.053,21.336
5,2,WALL,GROUND,Gallery_south_head1 panel,71.28,21.336
6,1,WALL,GROUND,Admissions_north_end panel,22.341,21.336
7,2,WALL,GROUND,Classrooms_south panel,53.726,21.336
8,1,WALL,GROUND,Store109_south_end panel,16.224,21.336
9,2,WALL,GROUND,West_south_envelope_end panel,60.375,21.336
10,1,WALL,GROUND,West_entry_storefront_head0 panel,8.245,21.336
11,1,WALL,GROUND,West_entry_storefront_lintel1 panel,8.245,21.336
12,2,WALL,GROUND,West_entry_storefront_lintel3 panel,9.043,21.336
13,1,WALL,GROUND,West_entry_storefront_head4 panel,4.255,21.336
14,1,WALL,GROUND,Vestibule_south_head0 panel,11.171,21.336
15,2,WALL,GROUND,Office111_south_end panel,74.205,21.336
16,1,WALL,GROUND,Store_to_mechanical_end panel,25.267,21.336
17,1,WALL,GROUND,Lift_B_s panel,12.766,21.336
18,1,WALL,GROUND,Lift_B_n_end panel,12.766,21.336
19,2,WALL,GROUND,StairB_north panel,74.471,21.336
20,2,WALL,GROUND,Office111_north panel,16.756,21.336
21,1,WALL,GROUND,Janitor_north_lintel0 panel,4.787,21.336
22,2,WALL,GROUND,Restrooms_north panel,35.108,21.336
23,1,WALL,GROUND,Vestibule_north_head0 panel,11.171,21.336
24,1,WALL,GROUND,Locker121_south_end panel,76.067,21.336
25,1,WALL,GROUND,Gym_south panel,129.527,21.336
26,1,WALL,GROUND,Locker_divider_end panel,76.067,21.336
27,1,WALL,GROUND,Locker122_north_end panel,76.067,21.336
28,1,WALL,GROUND,Commons_north_head0 panel,80.057,21.336
29,1,WALL,GROUND,Athletics_south panel,54.258,21.336
30,1,WALL,GROUND,Athletics_south_lintel2 panel,13.564,21.336
31,1,WALL,GROUND,Trainer_storage_divider_end panel,14.096,21.336
32,2,WALL,GROUND,Offices_divider_end panel,28.459,21.336
33,2,WALL,GROUND,Athletics_north_sill0 panel,66.226,21.336
34,1,WALL,GROUND,North_corridor_entry_lintel0 panel,26.331,21.336
35,2,WALL,GROUND,Gym_north panel,127.665,46.61
36,1,WALL,GROUND,West_locker_and_service_envelope_end panel,14.279,21.336
37,1,WALL,GROUND,West_locker_and_service_envelope_end panel,22.79,21.336
38,2,WALL,GROUND,West_locker_and_service_envelope_end panel,28.907,21.336
39,2,WALL,GROUND,West_locker_and_service_envelope_end panel,29.971,21.336
40,2,WALL,GROUND,Athletics_west_lintel0 panel,9.226,21.336
41,2,WALL,GROUND,Athletics_west_lintel0 panel,37.46,21.336
42,1,WALL,GROUND,Locker121_wet_partition_end panel,28.907,21.336
43,2,WALL,GROUND,Locker121_wet_partition_end panel,29.971,21.336
44,1,WALL,GROUND,Athletic_store_east_end panel,10.023,21.336
45,1,WALL,GROUND,Athletic_store_east_end panel,9.491,21.336
46,1,WALL,GROUND,Janitor_east_end panel,14.279,21.336
47,1,WALL,GROUND,Janitor_east_end panel,10.023,21.336
48,1,WALL,GROUND,Trainer_office panel,12.949,21.336
49,2,WALL,GROUND,Trainer_office panel,19.598,21.336
50,1,WALL,GROUND,Athletics_centre_end panel,12.949,21.336
51,2,WALL,GROUND,Athletics_centre_end panel,16.673,21.336
52,1,WALL,GROUND,Restroom_divider_end panel,27.577,21.336
53,2,WALL,GROUND,Office124_126_end panel,15.875,21.336
54,1,WALL,GROUND,Restrooms_east_end panel,15.875,21.336
55,2,WALL,GROUND,Restrooms_east_end panel,6.3,21.336
56,2,WALL,GROUND,Athletics_east_end panel,15.875,21.336
57,1,WALL,GROUND,Athletics_east_end panel,16.673,21.336
58,1,WALL,GROUND,Corridor_stair_boundary_lintel1 panel,27.311,21.336
59,1,WALL,GROUND,Corridor_stair_boundary_lintel1 panel,9.757,21.336
60,1,WALL,GROUND,Corridor_stair_boundary_lintel1 panel,28.907,21.336
61,2,WALL,GROUND,Corridor_stair_boundary_lintel1 panel,29.971,21.336
62,1,WALL,GROUND,Classroom_strip_west_end panel,3.108,21.336
63,1,WALL,GROUND,Classroom_strip_west_end panel,27.311,21.336
64,2,WALL,GROUND,Gym_west_end panel,150.987,46.61
65,2,WALL,GROUND,Folding_partition_113_112_end panel,33.695,21.336
66,2,WALL,GROUND,Office111_west_end panel,14.811,21.336
67,2,WALL,GROUND,Office111_west_end panel,15.077,21.336
68,2,WALL,GROUND,Lab_west_end panel,29.173,21.336
69,1,WALL,GROUND,Lab_west_end panel,14.321,21.336
70,2,WALL,GROUND,Office111_east_end panel,15.077,21.336
71,2,WALL,GROUND,Gym_east panel,150.987,46.61
72,2,WALL,GROUND,Lab_east_lintel0 panel,47.259,21.336
