id,layer,x,y,w,d,color,part,role
1,0,0,0,32,32,Light bluish gray,3811,baseplate
2,0,32,0,32,32,Light bluish gray,3811,baseplate
3,0,64,0,32,32,Light bluish gray,3811,baseplate
4,0,0,32,32,32,Light bluish gray,3811,baseplate
5,0,32,32,32,32,Light bluish gray,3811,baseplate
6,0,64,32,32,32,Light bluish gray,3811,baseplate
7,1,60,7,1,1,Black,3005,wall
8,1,48,8,4,1,Black,3010,wall
9,1,52,8,4,1,Black,3010,wall
10,1,56,8,4,1,Black,3010,wall
11,1,61,8,4,1,Black,3010,wall
12,1,65,8,4,1,Black,3010,wall
13,1,69,8,4,1,Black,3010,wall
14,1,73,8,4,1,Black,3010,wall
15,1,48,9,1,2,Black,3004,wall
16,1,60,9,1,4,Black,3010,wall
17,1,72,9,1,3,Black,3622,wall
18,1,76,9,1,4,Black,3010,wall
19,1,48,13,1,4,Black,3010,wall
20,1,60,13,1,4,Black,3010,wall
21,1,72,13,4,1,Black,3010,wall
22,1,76,13,1,4,Black,3010,wall
23,1,34,14,4,1,Black,3010,wall
24,1,38,14,4,1,Black,3010,wall
25,1,42,14,2,1,Black,3004,wall
26,1,45,14,1,4,Black,3010,wall
27,1,46,14,2,1,Black,3004,wall
28,1,72,14,1,2,Black,3004,wall
29,1,15,15,4,1,Black,3010,wall
30,1,19,15,4,1,Black,3010,wall
31,1,23,15,4,1,Black,3010,wall
32,1,27,15,1,4,Black,3010,wall
33,1,28,15,1,1,Black,3005,wall
34,1,30,15,4,1,Black,3010,wall
35,1,34,15,1,4,Black,3010,wall
36,1,39,15,1,4,Black,3010,wall
37,1,15,16,1,4,Black,3010,wall
38,1,20,16,1,4,Black,3010,wall
39,1,23,16,1,4,Black,3010,wall
40,1,30,16,1,4,Black,3010,wall
41,1,60,17,1,2,Black,3004,wall
42,1,76,17,1,3,Black,3622,wall
43,1,45,18,4,1,Black,3010,wall
44,1,49,18,4,1,Black,3010,wall
45,1,53,18,4,1,Black,3010,wall
46,1,57,18,2,1,Black,3004,wall
47,1,77,18,3,1,Black,3622,wall
48,1,16,19,4,1,Black,3010,wall
49,1,27,19,1,4,Black,3010,wall
50,1,29,19,1,1,Black,3005,wall
51,1,34,19,1,4,Black,3010,wall
52,1,39,19,1,3,Black,3622,wall
53,1,45,19,1,4,Black,3010,wall
54,1,48,19,1,3,Black,3622,wall
55,1,79,19,1,1,Black,3005,wall
56,1,15,20,1,4,Black,3010,wall
57,1,18,20,1,3,Black,3622,wall
58,1,20,20,1,3,Black,3622,wall
59,1,23,20,1,3,Black,3622,wall
60,1,30,20,1,4,Black,3010,wall
61,1,28,21,2,1,Black,3004,wall
62,1,19,22,1,1,Black,3005,wall
63,1,22,22,1,1,Black,3005,wall
64,1,24,22,1,1,Black,3005,wall
65,1,26,22,1,1,Black,3005,wall
66,1,31,22,1,1,Black,3005,wall
67,1,35,22,4,1,Black,3010,wall
68,1,40,22,4,1,Black,3010,wall
69,1,46,22,2,1,Black,3004,wall
70,1,49,22,1,1,Black,3005,wall
71,1,76,22,1,4,Black,3010,wall
72,1,79,22,1,2,Black,3004,wall
73,1,77,23,2,1,Black,3004,wall
74,1,15,24,4,1,Black,3010,wall
75,1,19,24,4,1,Black,3010,wall
76,1,23,24,4,1,Black,3010,wall
77,1,27,24,4,1,Black,3010,wall
78,1,34,24,4,1,Black,3010,wall
79,1,40,24,4,1,Black,3010,wall
80,1,44,24,4,1,Black,3010,wall
81,1,48,24,4,1,Black,3010,wall
82,1,52,24,4,1,Black,3010,wall
83,1,56,24,4,1,Black,3010,wall
84,1,60,24,1,4,Black,3010,wall
85,1,15,25,1,4,Black,3010,wall
86,1,18,25,1,3,Black,3622,wall
87,1,34,25,1,4,Black,3010,wall
88,1,30,26,1,4,Black,3010,wall
89,1,76,26,1,4,Black,3010,wall
90,1,60,28,1,4,Black,3010,wall
91,1,15,29,1,4,Black,3010,wall
92,1,18,29,1,4,Black,3010,wall
93,1,34,29,1,4,Black,3010,wall
94,1,30,30,1,4,Black,3010,wall
95,1,76,30,1,4,Black,3010,wall
96,1,16,31,2,1,Black,3004,wall
97,1,19,31,4,1,Black,3010,wall
98,1,23,31,4,1,Black,3010,wall
99,1,27,31,3,1,Black,3622,wall
100,1,60,32,1,4,Black,3010,wall
101,1,15,33,1,4,Black,3010,wall
102,1,18,33,1,1,Black,3005,wall
103,1,34,33,1,4,Black,3010,wall
104,1,30,34,1,3,Black,3622,wall
105,1,76,34,1,4,Black,3010,wall
106,1,18,35,1,3,Black,3622,wall
107,1,60,36,1,4,Black,3010,wall
108,1,15,37,3,1,Black,3622,wall
109,1,19,37,4,1,Black,3010,wall
110,1,23,37,4,1,Black,3010,wall
111,1,27,37,3,1,Black,3622,wall
112,1,34,37,1,4,Black,3010,wall
113,1,30,38,1,1,Black,3005,wall
114,1,76,38,1,2,Black,3004,wall
115,1,61,39,4,1,Black,3010,wall
